SKU001,SKU002,SKU003,SKU004,SKU005,SKU006,SKU007,SKU008,SKU009,SKU010
False,True,False,False,False,False,True,True,False,True
False,False,True,False,False,True,False,False,True,False
False,True,False,False,False,False,False,False,False,True
True,False,False,False,True,False,False,False,False,True
False,False,False,False,False,True,True,False,True,True
False,False,False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,False,False,True
False,False,False,True,False,False,True,False,False,False
True,False,False,False,False,False,False,False,False,False
False,False,False,True,False,False,False,False,False,False
False,False,False,True,False,False,False,False,False,False
False,False,False,False,True,False,True,False,False,False
True,False,True,True,False,False,False,True,True,False
True,True,False,False,False,False,False,True,False,False
True,False,False,False,False,False,False,False,True,False
True,False,True,False,False,True,True,True,False,False
False,False,False,False,False,True,False,False,True,False
False,True,False,False,True,False,False,False,True,False
True,False,False,True,True,True,False,False,False,False
True,False,False,False,False,False,False,True,False,False
False,False,False,True,False,False,False,True,False,True
False,True,False,True,True,False,False,False,True,True
False,False,True,False,True,False,False,False,True,True
True,True,False,False,False,False,False,False,True,True
False,True,False,True,False,True,False,False,False,False
False,False,False,False,False,False,True,True,False,True
True,True,True,False,False,False,True,True,False,False
False,False,False,False,False,True,False,True,False,False
False,True,False,False,True,False,False,False,False,False
False,True,False,False,False,False,False,False,False,False
False,True,False,True,True,False,False,False,True,True
False,False,False,False,False,False,False,True,False,False
False,False,True,False,False,False,False,False,False,False
False,False,True,True,False,True,False,False,False,False
False,False,False,True,True,False,True,True,False,False
False,False,False,False,False,True,False,False,False,False
False,False,False,False,True,False,False,False,False,False
False,False,False,False,False,False,True,False,False,False
False,False,False,False,False,True,True,True,False,True
False,False,True,True,True,True,False,False,False,False
True,True,False,True,False,False,False,True,True,False
False,False,False,False,True,True,False,True,False,False
False,False,False,True,True,False,False,True,False,True
False,False,True,True,False,False,False,False,False,False
False,False,False,False,False,False,True,True,False,False
True,False,False,False,True,True,False,True,False,True
False,False,False,True,False,False,True,False,False,True
True,True,True,False,True,False,True,False,False,False
True,False,True,False,True,False,True,False,True,False
False,False,False,False,False,False,True,False,True,True
